# n1c/mol   n2c/mol     n1d/mmol    m2d/mmol    q/J
0.2346e-04  1.042       0.2346e-01  0.0        -0.244
0.4693e-04  1.042       0.7039e-01  0.0        -0.675
0.1173e-03  1.042       0.8150e-01  0.0        -0.764
0.1988e-03  1.042       0.8150e-01  0.0        -0.759
0.1020e-01  1.042       0.1161      0.0        -0.955
0.1031e-01  1.042       0.1161      0.0        -0.946
0.1043e-01  1.042       0.1161      0.0        -0.961
0.1055e-01  1.042       0.1161      0.0        -0.937
0.1066e-01  1.042       0.1161      0.0        -0.961
0.1078e-01  1.042       0.1161      0.0        -0.931
0.1089e-01  1.042       0.1161      0.0        -0.960
0.1101e-01  1.042       0.1161      0.0        -0.932
0.1113e-01  1.042       0.1161      0.0        -0.948
0.1003      0.6100      0.5828      0.0        -0.312
0.1008      0.6100      0.5828      0.0        -0.301
0.1014      0.6100      0.5828      0.0        -0.290
0.1234      0.4847      0.2334      0.0         0.143
0.1236      0.4847      0.5828      0.0         0.361
0.1242      0.4847      0.5828      0.0         0.363
0.1248      0.4847      0.5828      0.0         0.368
0.1253      0.4847      0.5828      0.0         0.375
0.1259      0.4847      0.5828      0.0         0.378
0.1740      0.2273      0.3495      0.0         0.426
0.1743      0.2273      0.3495      0.0         0.428
0.1747      0.2273      0.3495      0.0         0.426
0.1750      0.2273      0.3495      0.0         0.422
0.1754      0.2273      0.3495      0.0         0.425
0.1992      0.1111      0.2334      0.0         0.205
0.1995      0.1111      0.3495      0.0         0.312
0.1998      0.1111      0.3495      0.0         0.312
0.2001      0.1111      0.3495      0.0         0.315
0.2005      0.1111      0.3495      0.0         0.312
0.2008      0.1111      0.3495      0.0         0.315
0.2106      0.5226e-01  0.5828      0.0         0.288
0.2111      0.5226e-01  0.5828      0.0         0.285
0.2117      0.5226e-01  0.5828      0.0         0.281
0.2123      0.5226e-01  0.5828      0.0         0.280
0.2129      0.5226e-01  0.5828      0.0         0.280
0.5092e-01  0.8325      0.1161      0.0        -0.472
0.5103e-01  0.8325      0.1161      0.0        -0.455
0.5115e-01  0.8325      0.1161      0.0        -0.464
0.5126e-01  0.8325      0.1161      0.0        -0.456
0.5138e-01  0.8325      0.1161      0.0        -0.467
0.5150e-01  0.8325      0.1161      0.0        -0.455
0.5161e-01  0.8325      0.1161      0.0        -0.463
0.5173e-01  0.8325      0.1161      0.0        -0.455
0.2528e-04  1.025       0.1269      2.194      -0.368
0.1522e-03  1.027       0.1269      2.194      -0.367
0.2792e-03  1.029       0.1269      2.194      -0.363
0.4061e-03  1.031       0.1269      2.194      -0.363
0.5331e-03  1.034       0.1269      2.194      -0.363
0.6600e-03  1.036       0.1269      2.194      -0.359
0.1020      0.6128      0.0         0.2753     -0.137
0.1020      0.6130      0.0         1.107      -0.572
0.1020      0.6152      0.0         1.107      -0.557
0.1020      0.6163      0.0         1.107      -0.567
0.1020      0.6175      0.0         1.107      -0.567
0.1020      0.6186      0.0         1.107      -0.562
0.1020      0.6197      0.0         1.107      -0.561
0.1020      0.6208      0.0         1.107      -0.557
0.1020      0.6219      0.0         1.107      -0.556
0.1234      0.4786      0.0         0.5506     -0.415
0.1234      0.4791      0.0         1.107      -0.835
0.1234      0.4803      0.0         1.107      -0.830
0.1234      0.4814      0.0         1.107      -0.830
0.1234      0.4825      0.0         1.107      -0.827
0.1234      0.4836      0.0         1.107      -0.826
0.1757      0.2278      0.0         1.107      -1.06 
0.1757      0.2289      0.0         1.107      -1.06 
0.1757      0.2300      0.0         1.107      -1.06 
0.1757      0.2311      0.0         1.107      -1.06 
0.1757      0.2322      0.0         1.107      -1.06 
0.1992      0.1078      0.0         1.107      -0.518
0.1992      0.1100      0.0         1.107      -0.541
0.2135      0.5226e-01  0.0         0.8317      0.536 
0.2135      0.5309e-01  0.0         0.8317      0.508 
0.2135      0.5393e-01  0.0         0.8317      0.495 
0.2135      0.5476e-01  0.0         0.8317      0.464 
0.2135      0.5559e-01  0.0         0.8317      0.437 
0.2135      0.5642e-01  0.0         0.8317      0.422 
0.2135      0.5725e-01  0.0         0.8317      0.398 
0.2202      0.2753e-03  0.0         0.1113      0.673 
0.2202      0.8318e-03  0.0         0.1113      0.687 
0.2202      0.9431e-03  0.0         0.1113      0.690 
0.2202      0.1054e-02  0.0         0.8202e-01  0.486 
0.2202      0.1136e-02  0.0         0.8202e-01  0.472 
0.2202      0.1382e-02  0.0         0.8202e-01  0.457 
0.2202      0.1496e-01  0.0         0.8202e-01  0.299 
0.2202      0.1504e-01  0.0         0.8202e-01  0.294 
0.2202      0.1512e-01  0.0         0.8202e-01  0.288 
0.2202      0.1521e-01  0.0         0.8202e-01  0.273 
0.2202      0.1529e-01  0.0         0.8202e-01  0.271 
0.2202      0.1537e-01  0.0         0.8202e-01  0.274 
0.2202      0.2940e-01  0.0         0.2226      0.441 
0.2202      0.2962e-01  0.0         0.2226      0.445 
0.2202      0.2984e-01  0.0         0.2226      0.445 
0.2202      0.3007e-01  0.0         0.2226      0.445  
0.2202      0.3029e-01  0.0         0.2226      0.450
0.2202      0.3051e-01  0.0         0.2226      0.425
0.2202      0.3627e-01  0.0         0.2226      0.345
0.2202      0.3649e-01  0.0         0.2226      0.332
0.2202      0.3672e-01  0.0         0.2226      0.334
0.2202      0.3694e-01  0.0         0.2226      0.325
0.2202      0.3716e-01  0.0         0.2226      0.338
0.2202      0.3738e-01  0.0         0.2226      0.325
0.2209      0.6322e-04  0.1033      0.6322e-01  0.322
0.2210      0.1264e-03  0.1033      0.6322e-01  0.324
0.2211      0.1897e-03  0.1033      0.6322e-01  0.313
0.2212      0.2553e-03  0.2078      0.1271      0.662
0.2214      0.3800e-03  0.2078      0.1271      0.648
0.2216      0.5071e-03  0.2078      0.1271      0.647
0.2218      0.6342e-03  0.2078      0.1271      0.637
0.2220      0.7614e-03  0.2078      0.1271      0.629
0.2222      0.8885e-03  0.2078      0.1271      0.629
0.2224      0.1016e-02  0.4156      0.2542      1.18 
0.2245      0.2287e-02  0.4156      0.2542      1.18 
0.2254      0.2858e-02  0.5190      0.3174      1.45 
0.2260      0.3176e-02  0.5190      0.3174      1.43 
0.2265      0.3493e-02  0.5190      0.3174      1.42 
0.2270      0.3811e-02  0.5190      0.3174      1.39 
0.2275      0.4128e-02  0.5190      0.3174      1.38 
0.2280      0.4446e-02  0.5190      0.3174      1.36 
0.2286      0.4763e-02  0.5190      0.3174      1.34 
