# n1c/mol     n2c/mol      n1d/mmol     n2d/mmol     Q/J
 3.70000e-03  0.00000e+00  0.00000e+00  2.24875e-02  1.82850e-01
 3.70000e-03  2.24875e-05  0.00000e+00  2.24875e-02  1.83930e-01
 3.70000e-03  4.49750e-05  0.00000e+00  2.24875e-02  1.74640e-01
 3.70000e-03  6.74625e-05  0.00000e+00  2.24875e-02  1.74180e-01
 3.70000e-03  8.99500e-05  0.00000e+00  2.24875e-02  1.80390e-01
 3.70000e-03  1.12437e-04  0.00000e+00  2.24875e-02  1.74440e-01
 3.70000e-03  1.34925e-04  0.00000e+00  2.24875e-02  1.73780e-01
 3.70000e-03  1.57412e-04  0.00000e+00  2.24875e-02  1.69810e-01
 3.70000e-03  1.79900e-04  0.00000e+00  2.24875e-02  1.67290e-01
 3.70000e-03  2.02387e-04  0.00000e+00  2.24875e-02  1.69080e-01
 3.70000e-03  2.24875e-04  0.00000e+00  2.24875e-02  1.65850e-01
 3.70000e-03  2.47362e-04  0.00000e+00  2.24875e-02  1.62410e-01
 3.70000e-03  2.69850e-04  0.00000e+00  2.24875e-02  1.65870e-01
 3.70000e-03  2.92337e-04  0.00000e+00  2.24875e-02  1.62650e-01
 3.70000e-03  3.14825e-04  0.00000e+00  2.24875e-02  1.57960e-01
 3.70000e-03  3.37313e-04  0.00000e+00  2.24875e-02  1.62690e-01
 3.70000e-03  3.59800e-04  0.00000e+00  2.24875e-02  1.56970e-01
 3.70000e-03  3.82288e-04  0.00000e+00  2.24875e-02  1.58670e-01
 3.70000e-03  4.04775e-04  0.00000e+00  2.24875e-02  1.57010e-01
 3.70000e-03  4.27263e-04  0.00000e+00  2.24875e-02  1.47740e-01
 3.70000e-03  4.49750e-04  0.00000e+00  2.24875e-02  1.52250e-01
 3.70000e-03  4.72238e-04  0.00000e+00  2.24875e-02  1.44670e-01
 3.70000e-03  4.94725e-04  0.00000e+00  2.24875e-02  1.48700e-01
 3.70000e-03  5.17213e-04  0.00000e+00  2.24875e-02  1.46180e-01
 3.70000e-03  5.39700e-04  0.00000e+00  2.24875e-02  1.45000e-01
 3.70000e-03  5.62188e-04  0.00000e+00  2.24875e-02  1.43810e-01
 3.70000e-03  5.84675e-04  0.00000e+00  2.24875e-02  1.43340e-01
 3.70000e-03  6.07163e-04  0.00000e+00  2.24875e-02  1.42670e-01
 3.70000e-03  6.29650e-04  0.00000e+00  2.24875e-02  1.42130e-01
